id,name,website,website_active,osm_exists,score,verified,verification_reason
390,Nepali Kitchen,https://nepalikitchen.weebly.com,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
396,Tim Hortons,NaN,False,True,2,False,"Found in OSM, Low verification score"
365,Pulp,NaN,False,True,2,False,"Found in OSM, Low verification score"
401,Mi Casa,https://www.micasa-akron.com,False,True,2,False,"Website inactive, Found in OSM, Low verification score"
391,Subway,https://restaurants.subway.com/united-states/oh/mogadore/35-n-cleveland-ave,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
395,Chipotle,https://locations.chipotle.com/oh/akron/1289-george-washington-blvd,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
404,Fiesta Pizza and Chicken,NaN,False,True,2,False,"Found in OSM, Low verification score"
405,"Tip""em Up Tavern",NaN,False,True,2,False,"Found in OSM, Low verification score"
397,Mr Hero,https://mrhero.com/,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
407,Dairy Queen,https://www.dairyqueen.com/locations/oh/akron/260-e-cuyahoga-falls-ave/14296,False,True,2,False,"Website inactive, Found in OSM, Low verification score"
398,Taco Bell,https://locations.tacobell.com/oh/akron/1467-s-arlington-rd.html,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
399,Hardee's,https://locations.hardees.com/oh/akron/1395-s-arlington-st,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
411,pizzaBOGO,NaN,False,True,2,False,"Found in OSM, Low verification score"
412,Peace Love & Little Donuts,NaN,False,True,2,False,"Found in OSM, Low verification score"
410,The Hartville Pantry,https://hartvillepantry.com,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
417,Fresh Planet,https://fresh-planet.com/,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
418,Jimmy John's,https://locations.jimmyjohns.com/oh/tallmadge/sandwiches-3043.html,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
421,Aura The Himalayan Kitchen,https://www.aurathekitchen.com/,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
427,Pizza Hut,https://locations.pizzahut.com/oh/tallmadge/535-south-ave,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
428,Wendy's,https://locations.wendys.com/united-states/oh/akron/275-e-market-st,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
432,Subway,https://restaurants.subway.com/united-states/oh/akron/1596-west-market-st,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
423,Gionino's Pizzeria,https://www.gioninos.com/locations/oh-tallmadge-676-eastwood-ave-44278,False,True,2,False,"Website check failed, Found in OSM, Low verification score"
435,Popeyes,https://www.popeyes.com/store-locator/store/restaurant_82776,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
425,Paleteria La Fresa,https://lafresaakron.com/,False,True,2,False,"Website check failed, Found in OSM, Low verification score"
436,Burger King,https://www.bk.com/store-locator/store/restaurant_212,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
451,Subway,https://restaurants.subway.com/united-states/oh/uniontown/4195-massillon-rd,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
453,Dunkin',https://locations.dunkindonuts.com/en/oh/uniontown/3651-massillon-rd/352608,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
454,Hunan King,http://www.hunankingonline.com/,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
433,Moe's Southwest Grill,NaN,False,True,2,False,"Found in OSM, Low verification score"
506,Pizza Hut,https://locations.pizzahut.com/oh/uniontown/1840-town-park-blvd,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
507,Jimmy John's,https://locations.jimmyjohns.com/oh/barberton/sandwiches-3724.html,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
508,Chipotle,https://locations.chipotle.com/oh/barberton/446-robinson-ave,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
439,BurgerFi,NaN,False,True,2,False,"Found in OSM, Low verification score"
512,Chick-fil-A,https://www.chick-fil-a.com/locations/oh/chapel-hill,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
513,Wendy's,https://locations.wendys.com/united-states/oh/cuyahoga-falls/460-howe-avenue,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
450,Marco's Pizza,NaN,False,True,2,False,"Found in OSM, Low verification score"
457,DQ Grill & Chill,https://www.dairyqueen.com/en-us/locations/oh/uniontown/1840-town-park-blvd-ste-r/14326/,False,True,2,False,"Website inactive, Found in OSM, Low verification score"
461,East of Chicago Pizza,NaN,False,True,2,False,"Found in OSM, Low verification score"
462,Strickland's,NaN,False,True,2,False,"Found in OSM, Low verification score"
