id,name,type,cuisine,city,street,postcode,website,latitude,longitude,status,master_id
246,Starbucks,cafe,coffee_shop,Stow-Kent Plaza,Kent Road,44224,https://www.starbucks.com/store-locator/store/90026/stow-kent-plaza-4294-kent-road-stow-oh-442244470-us,41.1567091,-81.4086711,valid,
247,Taqueria El Paso,restaurant,mexican,Akron,South Main Street,44301,https://www.facebook.com/TaqueriaElPasoAkron/,41.0376237,-81.526437,valid,
248,Ms. Julie's Kitchen,restaurant,NaN,Akron,South Main Street,44301,NaN,41.0376842,-81.5264386,valid,
249,House of Hunan,restaurant,asian,NaN,East Waterloo Road,44319,https://houseofhunan6.com/,41.0275735,-81.5128049,valid,
251,Mama Rosa's,restaurant,pizza,Akron,Brown Street,44301,https://mamarosespizza.com/,41.0513434,-81.5097481,valid,
254,McDonald's,fast_food,burger,Akron,Manchester Road,44319-3911,https://www.mcdonalds.com/us/en-us/location/5493.html,40.9623102,-81.5654457,valid,
261,Pizza Hut,restaurant,pizza,Akron,West Market Street,44313,https://locations.pizzahut.com/oh/akron/1694-w-market-st,41.1097079,-81.5703809,valid,
263,Dunkin' Donuts,fast_food,donut;coffee_shop,Akron,West Market Street,44313,https://locations.dunkindonuts.com/en/oh/akron/1712-w-market-st/350211,41.1098426,-81.5706236,valid,
264,Panera Bread,fast_food,sandwich;bakery,Cuyahoga Falls,Howe Avenue,44221,https://locations.panerabread.com/oh/cuyahoga-falls/689-howe-avenue.html,41.1200399,-81.4746653,valid,
266,McDonald's,fast_food,burger,Tallmadge,Southeast Avenue,44278-2317,https://www.mcdonalds.com/us/en-us/location/10566.html,41.1006264,-81.4391501,valid,
267,Great Garden,restaurant,chinese,NaN,East Tallmadge Avenue,44310,http://www.greatgarden1065.com/,41.1023258,-81.4765885,valid,
268,Swensons,fast_food,burger,NaN,East Cuyahoga Falls Avenue,NaN,https://swensonsdriveins.com/,41.1145639,-81.4956894,valid,
269,Gino's Pizza,restaurant,NaN,Akron,Copley Road,44320,NaN,41.0840828,-81.5712843,valid,
270,Portage Path Broaster and Mini Mart,fast_food,chicken,Akron,South Portage Path,44302,NaN,41.0924294,-81.5434331,valid,
271,Little Caesars,fast_food,pizza,Akron,Copley Road,44320,NaN,41.0841889,-81.5674333,valid,
272,Edgar's Restaurant,restaurant,american,Akron,Nome Avenue,44320,NaN,41.0951804,-81.5716672,valid,
273,Starbucks,cafe,coffee_shop,Streetsboro Commons,Singletary Drive,44241,https://www.starbucks.com/store-locator/store/1008805/streetsboro-commons-9712-singletary-drive-streetsboro-oh-44241-us,41.2503841,-81.3626286,valid,
275,Romeo's pizza,restaurant,pizza,Tallmadge,Erie Road,44278,https://locations.romeospizza.com/tallmadge/,41.1005234,-81.437608,valid,
276,Subway,fast_food,sandwich,Tallmadge,Erie Road,44278,https://restaurants.subway.com/united-states/oh/tallmadge/35-erie-rd,41.1004509,-81.4376923,valid,
281,Subway,fast_food,sandwich,Stow,Hudson Drive,44224,https://restaurants.subway.com/united-states/oh/stow/3500-hudson-dr,41.164979,-81.4774182,valid,
282,Jimmy John's,fast_food,sandwich,Stow,Hudson Drive,44224,https://locations.jimmyjohns.com/oh/stow/sandwiches-2082.html,41.1644957,-81.477568,valid,
285,Popeyes,fast_food,chicken,Akron,North Howard Street,44310,https://www.popeyes.com/store-locator/store/restaurant_83727,41.1023465,-81.5156005,valid,
286,Valley Cafe,restaurant,NaN,NaN,Weathervane Lane,44313,NaN,41.1354838,-81.5532891,valid,
287,Evelyn's Coffee & Banh Mi,cafe,NaN,Akron,East Exchange Street,44308,http://evelynscoffee.com/,41.0764845,-81.5215486,valid,
289,Boba & Pearl,cafe,bubble_tea,Cuyahoga Falls,Portage Trail,44223,NaN,41.1476997,-81.5056851,valid,
291,Pierre's Brooklyn Pizza and Deli,restaurant,pizza,Akron,Kenmore Boulevard,44314,https://pierrespizzaanddeli.com/,41.043275,-81.5585508,valid,
292,Subway,fast_food,sandwich,Akron,Tallmadge Avenue,44310,https://restaurants.subway.com/united-states/oh/akron/904-tallmadge-ave,41.1018891,-81.4820987,valid,
293,Crimson Cup,cafe,coffee_shop,Tallmadge,Tallmadge Circle,44278,https://www.crimsoncup.com/assets/24x36-_2020_Tallmadge.pdf,41.102298,-81.4415404,valid,
294,Chipotle,fast_food,mexican,Cuyahoga Falls,Portage Trail,44223,https://locations.chipotle.com/oh/cuyahoga-falls/2042-portage-trl,41.148276,-81.5075763,valid,
295,Panini’s Bar & Grill,restaurant,NaN,NaN,Steels Pointe,44224,NaN,41.1819474,-81.4806617,valid,
296,Nervous Dog Coffee Bar and Roaster,cafe,NaN,NaN,Steels Pointe,44224,NaN,41.1826632,-81.4825448,valid,
297,Skyline Chili,restaurant,chili,NaN,Bridgewater Parkway,44224,https://skylinechili.com/,41.179904,-81.4805418,valid,
298,Rockne’s,restaurant,NaN,NaN,Hudson Drive,44224,NaN,41.1827525,-81.4727677,valid,
299,Mr. Bulky's Foods,confectionery,NaN,Cuyahoga Falls,Howe Avenue,44221,NaN,41.1167877,-81.4793622,valid,
300,Agavero Mexican Restaurant,restaurant,mexican,Cuyahoga Falls,Howe Avenue,44221,NaN,41.1169343,-81.4803031,valid,
301,Dunkin',fast_food,donut;coffee_shop,Stow,Graham Road,44224,https://locations.dunkindonuts.com/en/oh/stow/3027-graham-rd/353699,41.1669531,-81.4046738,valid,
302,Jersey Mike's Subs,fast_food,sandwich,Stow,Graham Road,44224,https://www.jerseymikes.com/2063/stow-oh,41.1668974,-81.404666,valid,
303,StowNut Donut & Diner,cafe,NaN,Stow,Graham Road,44224,http://www.stownutdonut.com/,41.1674397,-81.4040781,valid,
306,Subway,fast_food,sandwich,Stow,Graham Road,44224,https://restaurants.subway.com/united-states/oh/stow/3022-graham-rd,41.1652591,-81.4057684,valid,
307,Missing Falls Brewery,bar,NaN,NaN,South Main Street,44311,NaN,41.0705309,-81.526809,valid,
308,Dunkin',fast_food,donut;coffee_shop,Akron,Shanafelt Avenue,44312,https://locations.dunkindonuts.com/en/oh/akron/1286-shanafelt-ave/354710,41.0326804,-81.4323819,valid,
309,Subway,fast_food,sandwich,Akron,East Waterloo Road,44306,https://restaurants.subway.com/united-states/oh/akron/1011-e-waterloo-rd,41.03102,-81.4908307,valid,
