id,lat,lon,name,brand,website,amenity,shop,cuisine_raw,opening_hours,store_type_label,cuisine_labels,domain_tokens,text_seed
421058930,,,Einstein Bros. Bagels,Einstein Bros. Bagels,https://www.kent.edu/dining/hub,fast_food,,bagel,Mo-Fr 07:00-15:00; Sa-Su 08:30-15:00,fast_food,['bagel'],www kent edu,Einstein Bros. Bagels Einstein Bros. Bagels www kent edu
421058931,,,Wholly Habaneros,,https://www.kent.edu/dining/hub,fast_food,,mexican,,fast_food,['mexican'],www kent edu,Wholly Habaneros  www kent edu
421058932,,,Subway,Subway,https://www.kent.edu/dining/hub,fast_food,,sandwich,,fast_food,['sandwich'],www kent edu,Subway Subway www kent edu
421060203,,,Wow Bao,,https://www.kent.edu/dining/hub,fast_food,,asian;chinese,,fast_food,"['asian', 'chinese']",www kent edu,Wow Bao  www kent edu
421060204,,,Sushi with Gusto,,https://www.kent.edu/dining/hub,fast_food,,sushi,,fast_food,['sushi'],www kent edu,Sushi with Gusto  www kent edu
421060205,,,The Slice - Pizza Salad & More,,https://www.kent.edu/dining/hub,fast_food,,pizza;american,,fast_food,"['american', 'pizza']",www kent edu,The Slice - Pizza Salad & More  www kent edu
421060206,,,Auntie Anne's,Auntie Anne's,https://www.kent.edu/dining/hub,fast_food,,pretzel,,fast_food,['pretzel'],www kent edu,Auntie Anne's Auntie Anne's www kent edu
421063313,,,Schwebel Garden Room,,https://www.kent.edu/dining/schwebel-room,restaurant,,american;steak_house;international,Mo-Fr 11:00-14:00; PH off,restaurant,"['american', 'international', 'steak_house']",www kent edu,Schwebel Garden Room  www kent edu
421174735,,,The Bean Scene,,https://www.kent.edu/dining/library,cafe,,coffee_shop,,cafe,['coffee'],www kent edu,The Bean Scene  www kent edu
421565214,,,Subway,Subway,https://restaurants.subway.com/united-states/oh/kent/1330-s-water-st,fast_food,,sandwich,08:30-21:30,fast_food,['sandwich'],restaurants subway com,Subway Subway restaurants subway com
421571594,,,Food 4 Thought Cyber Cafe,,,restaurant,,american,Mo-Th 08:00-20:00; Fr 08:00-15:00; PH off,restaurant,['american'],,Food 4 Thought Cyber Cafe
421573854,,,Snack Bar,,,restaurant,,american,,restaurant,['american'],,Snack Bar
421943877,,,Jazzman's,,https://www.kent.edu/dining/oscar-ritchie,cafe,,coffee_shop,,cafe,['coffee'],www kent edu,Jazzman's  www kent edu
422064939,,,Jazzman's,,https://www.kent.edu/dining/eastway-center,cafe,,coffee_shop,,cafe,['coffee'],www kent edu,Jazzman's  www kent edu
422065422,,,Eastway Cafe,,https://www.kent.edu/dining/eastway-center,cafe,,american,,cafe,['american'],www kent edu,Eastway Cafe  www kent edu
422065641,,,Rosies Diner,,https://www.kent.edu/dining/tri-towers-rotunda,fast_food,,american;pizza;fries;burger;sandwich,,fast_food,"['american', 'burger', 'fries', 'pizza', 'sandwich']",www kent edu,Rosies Diner  www kent edu
476366380,,,The Battleground,,https://battlegroundbar.com/,restaurant,,mexican,,restaurant,['mexican'],battlegroundbar com,The Battleground  battlegroundbar com
476373475,,,McDonald's,McDonald's,https://www.mcdonalds.com/us/en-us/location/31878.html,fast_food,,burger,05:00-23:00,fast_food,['burger'],www mcdonalds com,McDonald's McDonald's www mcdonalds com
476373478,,,Wendy's,Wendy's,https://locations.wendys.com/united-states/oh/kent/4244-state-route-43,fast_food,,burger,07:00-22:00,fast_food,['burger'],locations wendys com,Wendy's Wendy's locations wendys com
586987222,,,Guido’s Pizza,,,restaurant,,pizza,,restaurant,['pizza'],,Guido’s Pizza
587068722,,,A&W,A&W,https://awrestaurants.com/locations/ohio/kent/1124-w-main-street/,fast_food,,burger,,fast_food,['burger'],awrestaurants com,A&W A&W awrestaurants com
656631184,,,Raising Cane's,Raising Cane's,,fast_food,,chicken,,fast_food,['chicken'],,Raising Cane's Raising Cane's
1186062189,,,Starbucks,Starbucks,https://www.starbucks.com/store-locator/store/1021745/kent-state-university-esplanad-475-terrace-drive-kent-oh-44240-us,cafe,,coffee_shop,,cafe,['coffee'],www starbucks com,Starbucks Starbucks www starbucks com
1192111752,,,Dunkin',Dunkin',https://locations.dunkindonuts.com/en/oh/kent/1625-s-water-st/358786,fast_food,,donut;coffee_shop,Mo-Fr 05:00-21:00; Sa-Su 06:00-21:00,fast_food,"['coffee', 'donut']",locations dunkindonuts com,Dunkin' Dunkin' locations dunkindonuts com
1195992430,,,Arby's,Arby's,https://www.arbys.com/locations/us/oh/kent/1821-e-main-st/store-8189/,fast_food,,sandwich,10:00-24:00,fast_food,['sandwich'],www arbys com,Arby's Arby's www arbys com
